Var1,Route_ID,Branch_ID,FL_Name,Start_Date_of_Route,Start_Time_of_Route,End_Time_of_Route,Break_Duration_mins,Percentage_Shift_Time_used,Percentage_Van_Weight_used,Percentage_Ambient_Capacity_Used,Percentage_Chilled_Capacity_Used,Percentage_Frozen_Capacity_Used,Percentage_Total_Crate_capacity_Used,Planned_total_Route_time,Planned_Total_Wait_time_mins,Planned_total_Mileage,Planned_Total_Driving_time,Number_Orders,Van_Type,Loaded_Ambient_Crates,Loaded_Chilled_Crates,Loaded_Frozen_Crates,Loaded_Kgs,Loaded_Total_Crates,Total_Dwell_Time,Shift_Start_Time,Shift_End_Time,Total_Shift_Hours,Total_Shift_Time_Spent_at_FL,MPO,HPO,energyUsedByRefrige,equivalMileage,newJourneyMileage,Energy_Required,Energy_Needed,vannumber_ev_,vannumber_d_,chargerType
734253,2695895,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 09:18:00,01-Jan-2020 16:49:00,0,1.0032,0.485146895,0.654545455,0.315789474,0.666666667,0.537037037,07:31:00,0,46.991,0,13,T29-885kg,36,12,10,429.355002,58,153,01/01/2020 09:15,01/01/2020 16:45,01/01/1900 07:30,0,3.614692308,01/01/1900 00:21,3.75833333333333,8.17028985507246,55.1612898550725,25.3741933333333,25.3741933333333,22,0,22
734248,2695887,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 09:31:00,01-Jan-2020 17:53:00,0,1.0798,0.381881357,0.4,0.342105263,0.266666667,0.361111111,08:22:00,0,55.742,0,11,T29-885kg,22,13,4,337.965001,39,123,01/01/2020 09:30,01/01/2020 17:15,01/01/1900 07:45,0,5.067454545,01/01/1900 00:32,4.18333333333333,9.09420289855072,64.8362028985507,29.8246533333333,29.8246533333333,23,0,22
734245,2695884,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 09:45:00,01-Jan-2020 17:17:59,0,1.0073,0.480461012,0.545454545,0.315789474,0.533333333,0.462962963,07:33:00,0,43.49,0,10,T29-885kg,30,12,8,425.207996,50,121,01/01/2020 09:45,01/01/2020 17:15,01/01/1900 07:30,0,4.349,01/01/1900 00:27,3.775,8.20652173913043,51.6965217391304,23.7804,23.7804,24,0,22
734249,2695888,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 09:52:00,01-Jan-2020 18:22:00,0,1.1337,0.600727682,0.654545455,0.368421053,0.6,0.546296296,08:30:00,0,95.85,0,11,T29-885kg,36,14,9,531.643999,59,131,01/01/2020 09:45,01/01/2020 17:15,01/01/1900 07:30,0,8.713636364,01/01/1900 00:30,4.25,9.23913043478261,105.089130434783,48.341,48.341,25,0,22
734254,2695896,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 09:59:59,01-Jan-2020 17:25:00,0,0.991,0.527366103,0.690909091,0.289473684,0.4,0.509259259,07:25:00,0,45.948,0,11,T29-885kg,38,11,6,466.719001,55,132,01/01/2020 10:00,01/01/2020 17:30,01/01/1900 07:30,4,4.177090909,01/01/1900 00:23,3.70833333333333,8.06159420289855,54.0095942028986,24.8444133333333,24.8444133333333,26,0,22
734247,2695886,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 10:01:00,01-Jan-2020 17:09:00,0,0.9195,0.239908473,0.272727273,0.184210526,0.2,0.231481481,07:08:00,0,50.736,0,7,T29-885kg,15,7,3,212.318999,25,96,01/01/2020 09:30,01/01/2020 17:15,01/01/1900 07:45,37,7.248,01/01/1900 00:38,3.56666666666667,7.7536231884058,58.4896231884058,26.9052266666667,26.9052266666667,27,0,22
734255,2695897,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 10:31:59,01-Jan-2020 17:39:59,0,0.9498,0.534950279,0.654545455,0.394736842,0.533333333,0.546296296,07:08:00,0,41.66,0,13,T29-885kg,36,15,8,473.430997,59,163,01/01/2020 10:00,01/01/2020 17:30,01/01/1900 07:30,22,3.204615385,01/01/1900 00:16,3.56666666666667,7.7536231884058,49.4136231884058,22.7302666666667,22.7302666666667,28,0,22
734246,2695885,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 10:35:00,01-Jan-2020 17:06:59,0,0.8727,0.429180791,0.563636364,0.263157895,0.466666667,0.444444444,06:32:00,0,38.916,0,10,T29-885kg,31,10,7,379.825,48,115,01/01/2020 09:45,01/01/2020 17:15,01/01/1900 07:30,57,3.8916,01/01/1900 00:27,3.26666666666667,7.10144927536232,46.0174492753623,21.1680266666667,21.1680266666667,29,0,22
734256,2695898,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 13:32:59,01-Jan-2020 17:24:00,0,0.5137,0.179541245,0.254545455,0.131578947,0.133333333,0.194444444,03:51:00,0,26.21,0,5,T29-885kg,14,5,2,158.894002,21,65,01/01/2020 10:30,01/01/2020 18:00,01/01/1900 07:30,218,5.242,01/01/1900 00:27,1.925,4.18478260869565,30.3947826086957,13.9816,13.9816,14,0,22
734776,2696981,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:16:00,02-Jan-2020 13:08:59,0,0.9267,0.632390956,0.854545455,0.394736842,0.266666667,0.611111111,07:53:00,0,43.368,0,13,T29-885kg,47,15,4,559.665996,66,176,02/01/2020 05:15,02/01/2020 13:45,01/01/1900 08:30,37,3.336,01/01/1900 00:20,3.94166666666667,8.56884057971014,51.9368405797102,23.8909466666667,23.8909466666667,1,0,22
734773,2696978,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:20:00,02-Jan-2020 12:28:00,0,0.9511,0.42487005,0.509090909,0.289473684,0.466666667,0.425925926,07:08:00,0,53.744,0,13,T29-885kg,28,11,7,376.009994,46,142,02/01/2020 05:15,02/01/2020 12:45,01/01/1900 07:30,21,4.134153846,01/01/1900 00:22,3.56666666666667,7.7536231884058,61.4976231884058,28.2889066666667,28.2889066666667,2,0,22
734775,2696980,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:20:00,02-Jan-2020 13:40:00,0,0.9807,0.788281353,0.963636364,0.394736842,0.333333333,0.675925926,08:20:00,0,45.767,0,15,T29-885kg,53,15,5,697.628997,73,198,02/01/2020 05:15,02/01/2020 13:45,01/01/1900 08:30,9,3.051133333,01/01/1900 00:18,4.16666666666667,9.05797101449275,54.8249710144927,25.2194866666667,25.2194866666667,3,0,22
734774,2696979,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:26:00,02-Jan-2020 12:50:00,0,0.9876,0.362957061,0.490909091,0.210526316,0.333333333,0.37037037,07:24:00,0,48.739,0,10,T29-885kg,27,8,5,321.216999,40,134,02/01/2020 05:15,02/01/2020 12:45,01/01/1900 07:30,5,4.8739,01/01/1900 00:31,3.7,8.04347826086956,56.7824782608696,26.11994,26.11994,4,0,22
734782,2696987,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:33:00,02-Jan-2020 13:40:00,0,0.954,0.776189833,1,0.342105263,0.266666667,0.666666667,08:07:00,0,45.208,0,13,T29-885kg,55,13,4,686.928002,72,208,02/01/2020 05:30,02/01/2020 14:00,01/01/1900 08:30,23,3.477538462,01/01/1900 00:19,4.05833333333333,8.82246376811594,54.0304637681159,24.8540133333333,24.8540133333333,5,0,22
734780,2696985,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:35:00,02-Jan-2020 12:46:59,0,0.959,0.424666669,0.527272727,0.263157895,0.466666667,0.425925926,07:12:00,0,48.699,0,11,T29-885kg,29,10,7,375.830002,46,124,02/01/2020 05:30,02/01/2020 13:00,01/01/1900 07:30,18,4.427181818,01/01/1900 00:25,3.6,7.82608695652174,56.5250869565217,26.00154,26.00154,6,0,22
734783,2696988,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:36:00,02-Jan-2020 14:48:00,0,1.0813,0.690595472,0.890909091,0.421052632,0.533333333,0.675925926,09:12:00,0,51.454,0,16,T29-885kg,49,16,8,611.176993,73,182,02/01/2020 05:30,02/01/2020 14:00,01/01/1900 08:30,0,3.215875,01/01/1900 00:20,4.6,10,61.454,28.26884,28.26884,7,0,22
734779,2696984,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:37:00,02-Jan-2020 13:01:00,0,0.9877,0.734018082,0.963636364,0.289473684,0.333333333,0.638888889,07:24:00,0,38.547,0,12,T29-885kg,53,11,5,649.606003,69,151,02/01/2020 05:30,02/01/2020 13:00,01/01/1900 07:30,5,3.21225,01/01/1900 00:20,3.7,8.04347826086956,46.5904782608696,21.43162,21.43162,8,0,22
734786,2696991,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:45:00,02-Jan-2020 13:26:00,0,1.026,0.426967229,0.563636364,0.315789474,0.4,0.453703704,07:41:00,0,56.414,0,12,T29-885kg,31,12,6,377.865998,49,139,02/01/2020 05:45,02/01/2020 13:15,01/01/1900 07:30,0,4.701166667,01/01/1900 00:26,3.84166666666667,8.35144927536232,64.7654492753623,29.7921066666667,29.7921066666667,9,0,22
734788,2696993,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:45:00,02-Jan-2020 14:25:00,0,1.0194,0.61777627,0.781818182,0.368421053,0.6,0.611111111,08:40:00,0,56.246,0,14,T29-885kg,43,14,9,546.731999,66,168,02/01/2020 05:45,02/01/2020 14:15,01/01/1900 08:30,0,4.017571429,01/01/1900 00:22,4.33333333333333,9.42028985507246,65.6662898550725,30.2064933333333,30.2064933333333,10,0,22
734790,2696995,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:45:00,02-Jan-2020 14:12:00,0,0.9942,0.719490402,0.927272727,0.315789474,0.4,0.638888889,08:27:00,0,39.376,0,12,T29-885kg,51,12,6,636.749006,69,193,02/01/2020 05:45,02/01/2020 14:15,01/01/1900 08:30,2,3.281333333,01/01/1900 00:23,4.225,9.18478260869565,48.5607826086956,22.33796,22.33796,11,0,22
734787,2696992,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:46:00,02-Jan-2020 13:57:00,0,0.9614,0.755685873,0.963636364,0.368421053,0.466666667,0.685185185,08:11:00,0,43.649,0,14,T29-885kg,53,14,7,668.7819975,74,166,02/01/2020 05:45,02/01/2020 14:15,01/01/1900 08:30,19,3.117785714,01/01/1900 00:18,4.09166666666667,8.89492753623188,52.5439275362319,24.1702066666667,24.1702066666667,12,0,22
734772,2696977,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:47:00,02-Jan-2020 12:35:00,0,0.9082,0.361714122,0.436363636,0.184210526,0.133333333,0.305555556,06:48:00,0,42.215,0,9,T29-885kg,24,7,2,320.116998,33,109,02/01/2020 05:15,02/01/2020 12:45,01/01/1900 07:30,41,4.690555556,01/01/1900 00:27,3.4,7.39130434782609,49.6063043478261,22.8189,22.8189,13,0,22
734777,2696982,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:49:00,02-Jan-2020 13:55:59,0,0.9535,0.809792095,0.963636364,0.421052632,0.466666667,0.703703704,08:07:00,0,44.671,0,14,T29-885kg,53,16,7,716.666004,76,174,02/01/2020 05:15,02/01/2020 13:45,01/01/1900 08:30,23,3.190785714,01/01/1900 00:20,4.05833333333333,8.82246376811594,53.4934637681159,24.6069933333333,24.6069933333333,14,0,22
734791,2696996,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:50:00,02-Jan-2020 14:09:00,0,0.9777,0.836057623,0.945454545,0.578947368,0.4,0.740740741,08:19:00,0,48.514,0,18,T29-885kg,52,22,6,739.910996,80,205,02/01/2020 05:45,02/01/2020 14:15,01/01/1900 08:30,11,2.695222222,01/01/1900 00:14,4.15833333333333,9.03985507246377,57.5538550724638,26.4747733333333,26.4747733333333,15,0,22
734781,2696986,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:56:00,02-Jan-2020 12:31:00,0,0.8769,0.548120904,0.581818182,0.315789474,0.533333333,0.481481481,06:35:00,0,52.603,0,12,T29-885kg,32,12,8,485.087,52,166,02/01/2020 05:30,02/01/2020 13:00,01/01/1900 07:30,55,4.383583333,01/01/1900 00:16,3.29166666666667,7.15579710144927,59.7587971014493,27.4890466666667,27.4890466666667,16,0,22
